session_id,station_id,vehicle_type,connector_type,start_time,duration_minutes,energy_kwh,city,latitude,longitude,temperature_c,is_weekday,hour_of_day
session_1,station_45,Tesla Model 3,Tesla Supercharger,2025-04-25 23:10:08,97,29.880142293973684,Los Angeles,32.89171524128299,-81.50539561054177,13.591680661796389,True,11
session_2,station_32,Hyundai Kona Electric,Tesla Supercharger,2025-04-25 23:10:08,21,20.651205025813226,Houston,40.05329087524889,-82.85410925524951,-1.1990742006562556,True,1
session_3,station_34,Kia EV6,CCS,2025-04-25 23:10:08,108,37.369389518395096,Dallas,34.12438753911973,-102.66371722508858,17.7574898273921,False,17
session_4,station_10,Tesla Model Y,Type 2,2025-04-25 23:10:08,99,49.545046222524,San Francisco,29.619842447241464,-122.7516886260855,3.949769174392644,False,3
session_5,station_46,Kia EV6,CCS,2025-04-25 23:10:08,111,55.10083503906081,Phoenix,36.25295221000391,-100.71708488896701,-4.401001781039506,True,23
session_6,station_42,Chevy Bolt,Type 2,2025-04-25 23:10:08,46,66.36524702721476,New York,40.031065101181035,-104.23829647977678,30.413998481709882,True,22
session_7,station_6,Nissan Leaf,Type 2,2025-04-25 23:10:08,63,74.30831308036113,New York,29.532496549366385,-101.96981074489037,-6.303033087961322,False,13
session_8,station_46,Ford Mustang Mach-E,Type 2,2025-04-25 23:10:08,56,60.14447238981542,San Francisco,35.17676467774692,-81.58565049335465,18.99342641706185,False,11
session_9,station_21,Rivian R1T,Type 2,2025-04-25 23:10:08,80,24.881925801818447,Los Angeles,32.961367868012516,-90.83940277923043,19.206296781186325,False,21
session_10,station_45,Audi e-tron,Type 2,2025-04-25 23:10:08,102,13.612430233970557,San Diego,37.53829415198695,-93.74521294181056,33.10613678512835,True,13
session_11,station_2,Hyundai Kona Electric,CHAdeMO,2025-04-25 23:10:08,27,74.75215780014025,Dallas,42.5066541693397,-101.32986052618045,21.249653467043238,False,14
session_12,station_20,Chevy Bolt,CHAdeMO,2025-04-25 23:10:08,96,60.234085125867416,Phoenix,38.611770161143,-109.40961450891643,6.08472789232307,True,17
session_13,station_6,Kia EV6,CCS,2025-04-25 23:10:08,29,42.30104642697633,New York,42.30481220186121,-90.72739111040329,0.07791151661069584,True,3
session_14,station_9,Volkswagen ID.4,CCS,2025-04-25 23:10:08,74,77.36218928382901,Los Angeles,31.995080162599713,-86.34587224054522,19.17781989286059,False,16
session_15,station_29,Volkswagen ID.4,Type 2,2025-04-25 23:10:08,45,35.333869030180765,San Antonio,43.11247855744615,-102.56305750453316,6.221589873425021,False,22
session_16,station_21,Tesla Model 3,Type 2,2025-04-25 23:10:08,103,54.816302607404836,Houston,31.27404531998551,-104.32718204785117,13.817895920897385,True,3
session_17,station_16,Hyundai Kona Electric,CCS,2025-04-25 23:10:08,28,21.020920287280433,Dallas,32.33429490250165,-84.69434916749881,34.21466586495943,False,3
session_18,station_7,Chevy Bolt,Tesla Supercharger,2025-04-25 23:10:08,41,43.32109062787353,San Diego,39.498725104743805,-83.92887761354388,-0.42333953267952573,True,3
session_19,station_43,Rivian R1T,CCS,2025-04-25 23:10:08,30,58.15944209784825,Dallas,33.66965018295769,-93.87186823698721,31.322465536162404,True,21
session_20,station_12,Ford Mustang Mach-E,Type 2,2025-04-25 23:10:08,33,33.596134141955176,San Francisco,46.263912836936754,-110.91484652093662,-6.952447493731916,True,6
