station_id,date,charging_sessions,energy_delivered_kwh,revenue_usd,is_weekend,day_of_week,is_forecast
GS-0017,2024-10-29,11.7,623.2,238.32,False,1,False
GS-0017,2024-10-30,13.1,750.0,286.82,False,2,False
GS-0017,2024-10-31,16.9,772.9,295.59,False,3,False
GS-0017,2024-11-01,11.9,710.0,271.52,False,4,False
GS-0017,2024-11-02,18.2,956.0,365.61,True,5,False
GS-0017,2024-11-03,21.4,1291.8,494.0,True,6,False
GS-0017,2024-11-04,12.5,761.9,291.35,False,0,False
GS-0017,2024-11-05,10.4,521.7,199.49,False,1,False
GS-0017,2024-11-06,16.7,905.9,346.42,False,2,False
GS-0017,2024-11-07,9.2,525.9,201.13,False,3,False
GS-0017,2024-11-08,15.2,929.7,355.52,False,4,False
GS-0017,2024-11-09,23.8,1254.0,479.55,True,5,False
GS-0017,2024-11-10,12.7,638.1,244.02,True,6,False
GS-0017,2024-11-11,10.9,502.4,192.12,False,0,False
GS-0017,2024-11-12,16.3,931.7,356.31,False,1,False
GS-0017,2024-11-13,20.9,1038.4,397.11,False,2,False
GS-0017,2024-11-14,11.2,626.6,239.61,False,3,False
GS-0017,2024-11-15,15.1,883.0,337.66,False,4,False
GS-0017,2024-11-16,12.5,623.2,238.31,True,5,False
GS-0017,2024-11-17,28.7,1763.1,674.26,True,6,False
GS-0017,2024-11-18,12.8,692.4,264.79,False,0,False
GS-0017,2024-11-19,14.1,732.1,279.98,False,1,False
GS-0017,2024-11-20,11.6,631.9,241.63,False,2,False
GS-0017,2024-11-21,13.1,604.1,231.04,False,3,False
GS-0017,2024-11-22,18.4,964.6,368.89,False,4,False
GS-0017,2024-11-23,23.3,1071.0,409.58,True,5,False
GS-0017,2024-11-24,24.2,1339.2,512.13,True,6,False
GS-0017,2024-11-25,17.9,1057.3,404.33,False,0,False
GS-0017,2024-11-26,16.8,814.1,311.33,False,1,False
GS-0017,2024-11-27,11.5,563.6,215.54,False,2,False
GS-0017,2024-11-28,20.7,1106.5,423.14,False,3,False
GS-0017,2024-11-29,15.2,760.7,290.91,False,4,False
GS-0017,2024-11-30,27.2,1548.5,592.18,True,5,False
GS-0017,2024-12-01,24.0,1233.9,471.87,True,6,False
GS-0017,2024-12-02,11.1,649.6,248.42,False,0,False
GS-0017,2024-12-03,10.8,493.5,188.74,False,1,False
GS-0017,2024-12-04,15.0,809.8,309.68,False,2,False
GS-0017,2024-12-05,22.3,1308.5,500.41,False,3,False
GS-0017,2024-12-06,11.3,652.9,249.67,False,4,False
GS-0017,2024-12-07,21.7,1124.3,429.97,True,5,False
GS-0017,2024-12-08,25.5,1325.4,506.87,True,6,False
GS-0017,2024-12-09,19.5,1041.4,398.24,False,0,False
GS-0017,2024-12-10,18.8,865.0,330.81,False,1,False
GS-0017,2024-12-11,13.4,688.7,263.38,False,2,False
GS-0017,2024-12-12,17.7,964.5,368.86,False,3,False
GS-0017,2024-12-13,23.9,1281.9,490.22,False,4,False
GS-0017,2024-12-14,19.2,973.1,372.12,True,5,False
