station_id,date,charging_sessions,energy_delivered_kwh,revenue_usd,is_weekend,day_of_week,is_forecast
GS-0030,2024-10-29,14.5,546.3,209.04,False,1,False
GS-0030,2024-10-30,10.7,448.6,171.69,False,2,False
GS-0030,2024-10-31,14.1,559.3,214.03,False,3,False
GS-0030,2024-11-01,9.8,398.4,152.47,False,4,False
GS-0030,2024-11-02,20.2,1006.3,385.08,True,5,False
GS-0030,2024-11-03,12.9,586.9,224.58,True,6,False
GS-0030,2024-11-04,14.3,660.0,252.55,False,0,False
GS-0030,2024-11-05,12.5,536.2,205.2,False,1,False
GS-0030,2024-11-06,11.7,460.8,176.33,False,2,False
GS-0030,2024-11-07,12.1,567.1,217.01,False,3,False
GS-0030,2024-11-08,12.0,452.2,173.04,False,4,False
GS-0030,2024-11-09,15.7,745.8,285.4,True,5,False
GS-0030,2024-11-10,17.0,680.3,260.33,True,6,False
GS-0030,2024-11-11,4.9,188.2,72.04,False,0,False
GS-0030,2024-11-12,10.9,482.5,184.63,False,1,False
GS-0030,2024-11-13,10.7,495.6,189.64,False,2,False
GS-0030,2024-11-14,11.4,551.4,211.01,False,3,False
GS-0030,2024-11-15,13.2,547.0,209.34,False,4,False
GS-0030,2024-11-16,17.2,748.5,286.45,True,5,False
GS-0030,2024-11-17,19.1,793.2,303.53,True,6,False
GS-0030,2024-11-18,11.8,539.9,206.62,False,0,False
GS-0030,2024-11-19,15.7,603.6,230.99,False,1,False
GS-0030,2024-11-20,9.2,457.6,175.11,False,2,False
GS-0030,2024-11-21,10.2,495.7,189.68,False,3,False
GS-0030,2024-11-22,11.6,533.9,204.32,False,4,False
GS-0030,2024-11-23,19.2,789.6,302.15,True,5,False
GS-0030,2024-11-24,14.4,667.9,255.61,True,6,False
GS-0030,2024-11-25,16.1,623.3,238.51,False,0,False
GS-0030,2024-11-26,10.5,423.6,162.1,False,1,False
GS-0030,2024-11-27,17.2,712.1,272.51,False,2,False
GS-0030,2024-11-28,17.2,758.4,290.24,False,3,False
GS-0030,2024-11-29,14.5,680.6,260.45,False,4,False
GS-0030,2024-11-30,19.2,905.9,346.66,True,5,False
GS-0030,2024-12-01,14.2,687.4,263.04,True,6,False
GS-0030,2024-12-02,13.4,509.2,194.87,False,0,False
GS-0030,2024-12-03,16.9,802.7,307.18,False,1,False
GS-0030,2024-12-04,16.3,765.1,292.79,False,2,False
GS-0030,2024-12-05,14.4,657.1,251.45,False,3,False
GS-0030,2024-12-06,10.4,468.1,179.13,False,4,False
GS-0030,2024-12-07,15.4,608.5,232.86,True,5,False
GS-0030,2024-12-08,18.6,833.4,318.94,True,6,False
GS-0030,2024-12-09,13.6,540.4,206.81,False,0,False
GS-0030,2024-12-10,16.0,801.6,306.76,False,1,False
GS-0030,2024-12-11,11.5,523.3,200.26,False,2,False
GS-0030,2024-12-12,11.2,497.5,190.37,False,3,False
