station_id,date,charging_sessions,energy_delivered_kwh,revenue_usd,is_weekend,day_of_week,is_forecast
GS-0019,2024-10-29,12.4,732.5,261.96,False,1,False
GS-0019,2024-10-30,10.4,488.6,174.75,False,2,False
GS-0019,2024-10-31,13.0,798.0,285.4,False,3,False
GS-0019,2024-11-01,8.0,471.5,168.61,False,4,False
GS-0019,2024-11-02,14.5,865.9,309.68,True,5,False
GS-0019,2024-11-03,12.4,752.9,269.26,True,6,False
GS-0019,2024-11-04,13.0,746.1,266.83,False,0,False
GS-0019,2024-11-05,12.0,630.4,225.45,False,1,False
GS-0019,2024-11-06,11.7,682.9,244.21,False,2,False
GS-0019,2024-11-07,12.5,696.0,248.9,False,3,False
GS-0019,2024-11-08,7.7,449.6,160.77,False,4,False
GS-0019,2024-11-09,15.5,839.5,300.21,True,5,False
GS-0019,2024-11-10,16.5,997.7,356.79,True,6,False
GS-0019,2024-11-11,13.4,736.2,263.27,False,0,False
GS-0019,2024-11-12,11.4,542.6,194.05,False,1,False
GS-0019,2024-11-13,13.8,765.9,273.91,False,2,False
GS-0019,2024-11-14,13.3,642.1,229.63,False,3,False
GS-0019,2024-11-15,13.1,653.2,233.59,False,4,False
GS-0019,2024-11-16,17.8,1112.9,398.01,True,5,False
GS-0019,2024-11-17,19.7,1154.8,412.98,True,6,False
GS-0019,2024-11-18,10.8,517.3,185.01,False,0,False
GS-0019,2024-11-19,9.4,544.2,194.61,False,1,False
GS-0019,2024-11-20,9.0,532.8,190.55,False,2,False
GS-0019,2024-11-21,17.0,815.6,291.69,False,3,False
GS-0019,2024-11-22,13.0,727.5,260.16,False,4,False
GS-0019,2024-11-23,11.0,637.1,227.84,True,5,False
GS-0019,2024-11-24,19.1,1131.6,404.69,True,6,False
GS-0019,2024-11-25,13.5,715.0,255.68,False,0,False
GS-0019,2024-11-26,11.8,702.8,251.35,False,1,False
GS-0019,2024-11-27,13.9,819.9,293.23,False,2,False
GS-0019,2024-11-28,15.1,707.7,253.09,False,3,False
GS-0019,2024-11-29,11.3,607.7,217.34,False,4,False
GS-0019,2024-11-30,13.6,757.5,270.9,True,5,False
GS-0019,2024-12-01,25.8,1625.1,581.19,True,6,False
GS-0019,2024-12-02,13.2,624.1,223.19,False,0,False
GS-0019,2024-12-03,10.7,670.3,239.73,False,1,False
GS-0019,2024-12-04,13.3,640.3,228.98,False,2,False
GS-0019,2024-12-05,13.0,607.2,217.16,False,3,False
GS-0019,2024-12-06,14.2,811.9,290.34,False,4,False
GS-0019,2024-12-07,13.2,748.3,267.6,True,5,False
GS-0019,2024-12-08,21.5,1192.4,426.43,True,6,False
GS-0019,2024-12-09,14.2,821.9,293.95,False,0,False
GS-0019,2024-12-10,17.7,1028.9,367.94,False,1,False
GS-0019,2024-12-11,11.7,635.4,227.23,False,2,False
GS-0019,2024-12-12,9.9,552.1,197.44,False,3,False
GS-0019,2024-12-13,9.7,467.5,167.18,False,4,False
GS-0019,2024-12-14,16.3,1003.4,358.84,True,5,False
GS-0019,2024-12-15,11.9,672.5,240.49,True,6,False
