session_id,station_id,vehicle_type,connector_type,start_time,duration_minutes,energy_kwh,city,latitude,longitude,temperature_c,is_weekday,hour_of_day,Time of Day,Day of Week,Charging Rate (kW),Energy Consumed (kWh),Charging Duration (hours)
session_522,station_25,Tesla Model 3,Type 2,2025-04-25 23:10:08,88,29.9270938664551,Los Angeles,40.68049382650545,-87.48276164231298,28.763434064597575,False,1,Afternoon,Sunday,350,29.9270938664551,1.4666666666666666
session_738,station_35,Hyundai Kona Electric,Tesla Supercharger,2025-04-25 23:10:08,19,11.115214617686327,New York,30.622632084740413,-72.48014806285799,7.664535419660872,False,23,Morning,Saturday,350,11.115214617686327,0.31666666666666665
session_741,station_40,Audi e-tron,Type 2,2025-04-25 23:10:08,107,20.63696140663545,Chicago,29.612165350256184,-82.59083831651412,25.970855166805038,False,16,Afternoon,Thursday,150,20.63696140663545,1.7833333333333334
session_661,station_5,Hyundai Kona Electric,Tesla Supercharger,2025-04-25 23:10:08,46,16.806809774084254,Houston,37.47845331243117,-110.56569932816981,16.763915100311603,True,16,Morning,Sunday,150,16.806809774084254,0.7666666666666667
session_412,station_42,Ford Mustang Mach-E,Type 2,2025-04-25 23:10:08,96,69.87771381612451,Philadelphia,45.255552946314296,-72.94693171057008,30.806082893388222,False,15,Evening,Monday,150,69.87771381612451,1.6
session_679,station_5,Tesla Model Y,Type 2,2025-04-25 23:10:08,114,15.964029794373868,Los Angeles,44.080966888607165,-105.36140419395102,10.265826864149286,False,8,Evening,Thursday,150,15.964029794373868,1.9
session_627,station_16,Hyundai Kona Electric,Tesla Supercharger,2025-04-25 23:10:08,97,68.00438735574014,Chicago,30.30058842767527,-114.96538780611066,17.084545879065235,True,16,Afternoon,Thursday,50,68.00438735574014,1.6166666666666667
session_514,station_33,Tesla Model Y,Tesla Supercharger,2025-04-25 23:10:08,71,76.67206716106695,San Diego,41.172275487089195,-81.24218882549857,-1.7833487334268572,True,16,Evening,Tuesday,350,76.67206716106695,1.1833333333333333
session_860,station_39,Tesla Model 3,Type 2,2025-04-25 23:10:08,74,45.42834644660522,Chicago,35.49515204771723,-124.94437860240626,-3.9931191028439628,True,20,Night,Sunday,150,45.42834644660522,1.2333333333333334
session_137,station_5,Rivian R1T,Type 2,2025-04-25 23:10:08,117,65.02412206296302,San Diego,46.89210220621656,-94.06261955894992,4.145323341303637,False,23,Afternoon,Thursday,150,65.02412206296302,1.95
session_812,station_46,Rivian R1T,CCS,2025-04-25 23:10:08,97,11.197042794775484,Los Angeles,39.75795885978286,-91.18299925408455,1.2625392288905424,False,10,Afternoon,Thursday,350,11.197042794775484,1.6166666666666667
session_77,station_7,Rivian R1T,CHAdeMO,2025-04-25 23:10:08,43,78.6717620275996,Chicago,27.911252820032622,-84.14833329157935,3.7181241901767184,False,16,Night,Thursday,150,78.6717620275996,0.7166666666666667
session_637,station_22,Ford Mustang Mach-E,CHAdeMO,2025-04-25 23:10:08,91,24.768159394090244,New York,39.92480113468531,-77.21675354542091,30.022518697667117,False,19,Night,Thursday,150,24.768159394090244,1.5166666666666666
